#ID_REF = 
#VALUE = Quantification
ID_REF	VALUE
7892501	1.4547
7892502	3.31642
7892503	2.11721
7892504	7.17993
7892505	1.99552
7892506	1.24709
7892507	2.57806
7892508	1.31327
7892509	9.57719
7892510	1.82591
7892511	2.12554
7892512	4.89752
7892513	1.56551
7892514	8.58253
7892515	6.52317
7892516	1.67483
7892517	2.11718
7892518	2.0304
7892519	3.42245
7892520	7.25962
7892521	5.51723
7892522	4.423
7892524	2.51222
7892525	4.00878
7892526	2.27536
7892527	5.14505
7892528	1.36011
7892529	3.16199
7892530	6.02921
7892531	3.35246
7892532	1.44323
7892533	4.9727
7892534	2.62693
7892535	5.1726
7892536	8.03442
7892537	1.7429
7892538	2.81424
7892539	1.67131
7892540	2.71999
7892541	6.53977
7892542	7.59701
7892543	4.20942
7892544	3.51375
7892545	4.29866
7892547	2.30534
7892548	3.68397
7892549	5.07943
7892550	3.74316
7892551	7.90415
7892552	2.4165
7892553	1.8072
7892554	2.39221
7892555	1.5651
7892556	10.7847
7892557	1.42936
7892558	2.39839
7892559	5.43561
7892560	2.87077
7892561	9.36655
7892562	7.11471
7892563	5.20596
7892564	9.91361
7892565	5.94516
7892566	1.50129
7892567	3.00718
7892568	6.85215
7892569	7.37557
7892570	1.5536
7892571	0.879089
7892572	6.2224
7892573	3.77747
7892574	8.8739
7892575	2.16353
7892576	6.09742
7892577	1.33294
7892578	3.09957
7892579	7.19626
7892580	1.98698
7892581	2.1831
7892582	1.09854
7892583	3.46
7892584	3.93548
7892585	1.61562
7892586	1.98698
7892587	2.01456
7892588	1.44589
7892589	2.46069
7892590	1.49995
7892591	1.21946
7892592	2.30994
7892593	2.55267
7892594	1.2254
7892595	1.75865
7892596	2.69429
7892597	2.49929
7892598	8.96785
7892599	8.70784
7892600	1.758
7892601	5.13062
7892602	1.50134
7892603	1.76671
7892604	2.0372
7892605	6.30622
7892606	9.07124
7892608	6.45082
7892609	1.24125
7892610	3.11349
7892611	1.01169
7892612	1.13612
7892613	6.61892
7892614	1.4024
7892615	1.78503
7892616	1.32775
7892617	10.0625
7892618	4.67747
7892619	1.34602
7892620	9.87317
7892621	10.5088
7892622	7.82803
7892623	7.73005
7892624	1.94032
7892625	5.45734
7892626	2.01301
7892627	6.36915
7892628	6.78772
7892629	3.10548
7892630	9.12265
7892631	0.853277
7892632	1.49995
7892633	3.33925
7892634	5.73311
7892635	6.27563
7892636	5.78797
7892637	3.85551
7892638	1.18315
7892639	4.88631
7892640	10.2838
7892641	1.74379
7892642	7.60125
7892643	7.83777
7892644	7.45349
7892645	1.48626
7892646	1.04631
7892647	1.45527
7892648	7.98988
7892649	2.90713
7892650	10.3605
7892651	1.50711
7892652	10.1257
7892653	1.91409
7892654	5.65014
7892655	1.99885
7892656	2.52111
7892657	1.36149
7892658	1.56007
7892659	1.24709
7892660	2.51446
7892661	10.8157
7892662	7.89606
