#ID_REF = 
#VALUE = Quantification
ID_REF	VALUE
7892501	2.29203
7892502	1.93208
7892503	1.74862
7892504	6.58103
7892505	1.76967
7892506	2.06068
7892507	2.56339
7892508	1.09548
7892509	8.9374
7892510	1.99052
7892511	1.15688
7892512	5.67326
7892513	1.33008
7892514	8.31108
7892515	6.76811
7892516	1.11839
7892517	2.71259
7892518	1.4175
7892519	3.91106
7892520	6.57479
7892521	5.07828
7892522	3.8783
7892524	3.15277
7892525	4.46522
7892526	1.63586
7892527	5.45009
7892528	1.30608
7892529	3.40782
7892530	5.71593
7892531	1.1836
7892532	1.5536
7892533	4.41998
7892534	2.86445
7892535	4.41998
7892536	7.89529
7892537	1.67482
7892538	2.91813
7892539	1.83196
7892540	2.84593
7892541	6.1218
7892542	7.07323
7892543	5.0785
7892544	4.68273
7892545	2.94121
7892547	3.24634
7892548	4.84989
7892549	3.98908
7892550	4.06244
7892551	8.06921
7892552	1.62882
7892553	1.1651
7892554	2.20682
7892555	2.08738
7892556	11.1132
7892557	1.38409
7892558	2.50961
7892559	6.02755
7892560	2.70361
7892561	9.17902
7892562	6.99907
7892563	6.00126
7892564	9.91123
7892565	5.69975
7892566	1.21755
7892567	2.43451
7892568	6.71002
7892569	7.25934
7892570	2.02947
7892571	1.25488
7892572	7.08392
7892573	3.53222
7892574	8.8904
7892575	2.68208
7892576	5.49198
7892577	1.4808
7892578	2.61143
7892579	7.13017
7892580	2.86241
7892581	1.68293
7892582	1.53973
7892583	3.36792
7892584	4.4483
7892585	2.57994
7892586	1.25814
7892587	2.40272
7892588	1.4972
7892589	2.81839
7892590	1.68293
7892591	1.28855
7892592	1.84361
7892593	2.88365
7892594	1.89832
7892595	1.55055
7892596	2.57983
7892597	2.20221
7892598	8.65984
7892599	8.50492
7892600	1.96237
7892601	5.42891
7892602	1.91691
7892603	1.25569
7892604	1.6531
7892605	4.48996
7892606	9.00674
7892608	6.33024
7892609	1.0452
7892610	2.13629
7892611	0.780779
7892612	1.03229
7892613	6.35032
7892614	1.23004
7892615	1.86086
7892616	1.27096
7892617	10.0625
7892618	4.32655
7892619	2.69396
7892620	9.73139
7892621	10.4615
7892622	7.67097
7892623	7.52999
7892624	1.77236
7892625	5.00971
7892626	2.54916
7892627	7.18493
7892628	6.41729
7892629	2.36598
7892630	8.5569
7892631	1.30242
7892632	1.28303
7892633	3.90544
7892634	5.53632
7892635	6.88848
7892636	6.11605
7892637	4.17463
7892638	1.48998
7892639	6.08342
7892640	9.04513
7892641	3.03954
7892642	7.55994
7892643	7.77049
7892644	7.06766
7892645	1.52982
7892646	1.15762
7892647	1.73776
7892648	7.5418
7892649	3.12273
7892650	10.4725
7892651	1.36007
7892652	10.3787
7892653	1.55442
7892654	4.71676
7892655	1.46834
7892656	1.2664
7892657	1.33522
7892658	1.20644
7892659	1.51857
7892660	1.48761
7892661	10.5011
7892662	7.84622
7892663	11.0855
7892664	2.44214
7892665	4.83217
7892666	1.21421
7892667	9.05437
7892668	9.29753
7892669	4.93786
7892670	7.32658
7892671	2.98407
7892672	1.37128
7892673	3.60872
7892674	5.512
7892675	2.9696
7892676	1.16678
7892677	7.59213
7892678	6.0245
7892679	3.74881
7892680	6.8082
7892681	5.47932
7892682	1.47838
7892683	2.64884
7892684	7.15924
7892685	2.70614
7892686	6.81514
7892687	3.01647
7892688	5.14819
7892689	2.66959
7892690	2.33055
7892691	1.23021
7892692	3.99487
7892693	6.77698
7892694	7.41121
7892695	2.172
7892696	4.95489
7892697	5.93985
7892698	1.17771
7892699	1.61959
7892700	3.71579
7892701	10.4949
7892702	1.96564
7892703	6.30215
7892704	11.959
7892705	1.79331
7892706	2.10567
7892707	4.52875
7892708	1.94221
7892709	1.49364
7892710	1.5536
7892711	2.32707
7892712	5.96634
7892713	6.8371
7892714	1.25814
7892715	1.92454
7892716	2.12843
7892717	2.0669
7892718	2.58802
7892719	5.04807
7892720	7.98647
7892721	6.467
7892722	1.61959
7892723	1.18703
7892724	1.3181
7892725	3.01979
7892726	4.10126
7892727	1.8072
7892728	2.20367
7892729	1.3238
7892730	1.89036
7892731	1.25496
7892732	3.30478
7892733	1.28219
7892734	2.36881
7892735	1.43076
7892736	1.85401
7892737	2.88707
7892738	5.63691
7892739	2.05423
7892740	1.61959
7892741	1.99342
7892742	8.7397
7892743	1.1933
7892744	1.36769
7892745	7.28521
7892746	1.40933
7892747	6.2534
7892748	7.06344
7892749	1.58788
7892750	2.58399
7892751	6.09309
7892752	1.32551
7892753	10.4396
7892754	1.3572
7892755	1.75978
7892756	1.22753
7892757	7.26531
7892758	2.88782
7892759	1.98249
7892760	3.76007
7892761	4.56693
7892762	10.9765
7892763	3.66298
7892764	8.58124
7892765	6.8653
7892766	10.2367
7892767	1.74529
7892768	1.81864
7892769	1.25814
7892770	10.0454
7892771	6.97279
7892772	1.39132
7892773	4.47131
7892774	3.37796
7892775	1.49364
7892776	6.04773
7892777	3.11426
7892778	7.36587
7892779	1.05647
7892780	2.38737
7892781	1.79247
7892782	9.16029
7892783	7.37722
7892784	1.14859
7892785	1.3073
7892786	7.65363
7892787	1.44908
7892788	8.4883
7892789	1.37429
7892790	1.39985
7892791	11.3173
7892792	3.84431
7892793	1.3324
7892794	1.68012
7892795	4.81149
7892796	10.9026
7892797	6.40554
7892798	1.51986
7892799	1.77372
7892800	1.5607
7892801	1.59322
7892802	6.19756
7892803	10.3924
7892804	1.07588
7892805	2.39262
7892806	1.25702
7892807	2.05787
7892808	9.19378
7892809	1.30171
7892810	4.05102
7892811	1.71335
7892812	2.96502
7892813	1.12109
7892814	7.99203
7892815	1.62064
7892816	7.11761
7892817	10.6412
7892818	1.41208
7892819	1.14859
7892820	9.80011
7892821	1.38272
7892822	1.84175
7892823	6.79198
7892824	4.11197
7892825	1.60543
7892826	1.8181
7892827	10.1761
7892828	1.18588
7892829	9.83912
7892830	10.9465
7892831	7.42248
7892832	2.85501
7892833	1.4587
7892834	1.48761
7892835	8.22942
7892836	10.5232
7892837	9.54308
7892838	6.6029
7892839	2.53379
7892840	1.81964
7892841	9.6719
7892842	1.9577
7892843	1.25496
7892844	1.49364
7892845	3.17629
7892846	11.3766
7892847	3.31164
7892848	5.66867
7892849	2.54745
7892850	1.94233
7892851	4.47174
7892852	4.58732
7892853	10.6739
7892854	1.65848
7892855	2.37523
7892856	1.59802
7892857	9.75088
7892858	1.25496
7892859	4.6222
7892860	2.73261
7892861	9.20178
7892862	7.91363
7892863	4.92823
7892864	1.47967
7892865	7.0277
7892866	0.995632
7892867	1.65612
7892868	9.53306
7892869	1.89398
7892870	4.89402
7892871	2.2859
7892872	3.06657
7892873	1.25496
7892874	1.86949
7892875	3.94427
7892876	1.42577
7892877	1.57699
7892878	2.08164
7892879	1.57195
7892880	9.04643
7892881	1.57894
7892882	8.19599
7892883	1.6349
7892884	9.76522
7892885	2.55535
7892886	2.88477
7892887	1.83624
7892888	1.1995
7892889	9.73361
7892890	9.57629
7892891	9.0535
7892892	1.94645
7892893	7.63626
7892894	8.89719
7892895	2.61652
7892896	8.0167
7892897	5.62255
7892898	6.46148
7892899	8.95759
7892900	9.40401
7892901	8.08745
7892902	11.4716
7892903	2.87025
7892904	1.76241
7892905	1.04459
7892906	11.5197
7892907	8.74423
7892908	3.22975
7892909	2.31749
7892910	0.946067
7892911	6.68198
7892912	3.85821
7892913	1.8176
7892914	1.823
7892915	4.54781
7892916	7.23525
7892917	2.06239
7892918	2.52984
7892919	7.36341
7892920	3.5547
7892921	1.74627
7892922	2.29322
7892923	1.3181
7892924	8.68265
7892925	7.92852
7892926	3.84458
7892927	1.20644
7892928	6.29965
7892929	0.964828
7892930	8.04774
7892931	2.39296
7892932	1.82114
7892933	1.29827
7892934	2.71932
7892935	8.40572
7892936	1.82977
7892937	4.71256
7892938	2.12525
7892939	7.97302
7892940	8.7429
7892941	9.24793
7892942	2.20721
7892943	1.24558
7892944	7.63072
7892945	1.23062
7892946	2.27733
7892947	10.0435
7892948	7.13859
7892949	1.38409
7892950	2.35291
7892951	3.37969
7892952	3.12401
7892953	7.13316
7892954	9.61628
7892955	7.60953
7892956	9.23874
7892957	2.93162
7892958	1.7913
7892959	4.03878
7892960	5.32435
7892961	3.34138
7892962	1.20132
7892963	1.25906
7892964	1.47182
7892965	1.29328
7892966	10.1216
7892967	6.69183
7892968	8.59515
7892969	8.77849
7892970	1.43727
7892971	1.28667
7892972	8.67399
7892973	3.09969
7892974	2.83791
7892975	1.55698
7892976	1.57195
7892977	9.96132
7892978	2.86812
7892979	7.1683
7892980	2.38737
7892981	7.98772
7892982	1.74627
7892983	9.70153
7892984	4.13171
7892985	3.26628
7892986	9.10163
7892987	9.73981
7892988	0.852866
7892989	4.58808
7892990	1.77244
7892991	6.21355
7892992	10.1568
7892993	6.32548
7892994	1.06791
7892995	1.22951
7892996	4.50355
7892997	1.67732
7892998	2.64693
7892999	1.35662
7893000	4.90807
7893001	6.61392
7893002	9.4219
7893003	4.11011
7893004	2.75346
7893005	1.36746
7893006	2.34358
7893007	1.31132
7893008	6.03994
7893009	1.75181
7893010	2.58475
7893011	3.58228
7893012	7.4008
7893013	3.74543
7893014	1.53877
7893015	10.1171
7893016	3.31866
7893017	3.98091
7893018	1.2014
7893019	2.02692
7893021	3.38974
7893022	2.41322
7893023	7.44175
7893024	1.61156
7893025	6.88601
7893026	6.58396
7893027	3.2325
7893028	1.10051
7893029	9.32718
7893030	3.67408
7893031	8.75324
7893032	6.33044
7893033	2.60636
7893034	2.78894
7893035	3.54867
7893036	8.6366
7893037	4.90028
7893038	1.48761
7893039	9.06519
7893040	3.5805
7893041	2.4548
7893042	6.48973
7893043	4.15569
7893044	1.29699
7893045	1.06975
7893046	1.97333
7893047	3.04715
7893048	4.49983
